pmid,title,journal,year,article_type,is_case_report,country,decision,reason_code,ae_topic,bucket,reviewer
33251603,Suppression of tau-induced phenotypes by vitamin E demonstrates the dissociation of oxidative stress and phosphorylation in mechanisms of tau toxicity.,Journal of neurochemistry,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33368529,Scurvy: A Disease not to be Forgotten.,Nutrition in clinical practice : official publication of the American Society for Parenteral and Enteral Nutrition,2021,case report,True,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
33432416,Calcium and ethylene glycol tetraacetic acid mitigate toxicity and alteration of gene expression associated with cadmium stress in chickpea (Cicer arietinum L.) shoots.,Protoplasma,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33476415,"Efficacy and safety of oral sulfate solution for bowel preparation in Japanese patients undergoing colonoscopy: Noninferiority-based, randomized, controlled study.",Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society,2021,clinical trial,False,Japan,include,,PEG-ascorbate comparator bowel prep AEs,no_problem,R-A + R-B (adjudicated)
33486702,Unrevealing arsenic and lead toxicity and antioxidant response in spinach: a human health perspective.,Environmental geochemistry and health,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
33496951,Ameliorative role of Ulva extract against heavy metal mixture-induced cardiovascular through oxidative/antioxidant pathways and inflammatory biomarkers.,Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33497984,"Evaluation of dietary selenium, vitamin C and E as the multi-antioxidants on the methylmercury intoxicated mice based on mercury bioaccumulation, antioxidant enzyme activity, lipid peroxidation and mitochondrial oxidative stress.",Chemosphere,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33507720,Protective effects of aloe vera gel (aloe baberdensis Miller) on aluminum chloride-induced reproductive toxicity in male Wistar rats.,JBRA assisted reproduction,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33527244,"Ecotoxicological risk assessment of pentachlorophenol, an emerging DBP to plants: evaluation of oxidative stress and antioxidant responses.",Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33549357,Regulation of ascorbate-glutathione cycle by exogenous nitric oxide and hydrogen peroxide in soybean roots under arsenate stress.,Journal of hazardous materials,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33629739,An isopentenyl transferase transgenic wheat isoline exhibits less seminal root growth impairment and a differential metabolite profile under Cd stress.,Physiologia plantarum,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33649116,SpoT-mediated NapA upregulation promotes oxidative stress-induced ,Antimicrobial agents and chemotherapy,2023,other,False,NR,exclude,R1_animal_invitro,,,R-A
33665830,Alleviating aluminum toxicity in plants: Implications of reactive oxygen species signaling and crosstalk with other signaling pathways.,Physiologia plantarum,2021,review/meta-analysis,False,NR,exclude,R1_animal_invitro,,,R-A
33694114,"Ameliorating effect of ascorbic acid on fenvalerate induced ultrastructural changes in scales, erythrocytes and gills of Ctenopharyngodon idella (Valenciennes, 1844).",Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33715559,The comparison of the effect of ,Drug and chemical toxicology,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
33729732,Efficacy and Safety of Parenteral High-Dose Vitamin C Therapy in Pediatric Patients: A Scoping Review.,Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care Societies,2021,review/meta-analysis,False,NR,include,,high-dose parenteral vit C safety (peds review),no_problem,R-A + R-B (adjudicated)
33751380,"Menadione sodium bisulfite alleviated chromium effects on wheat by regulating oxidative defense, chromium speciation, and ion homeostasis.",Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33765562,Multiple effects of silicon on alleviation of nickel toxicity in young maize roots.,Journal of hazardous materials,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33798942,Ascorbate uptake enables tubular mitophagy to prevent septic AKI by PINK1-PARK2 axis.,Biochemical and biophysical research communications,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33818725,Carrageenan oligomers and salicylic acid act in tandem to escalate artemisinin production by suppressing arsenic uptake and oxidative stress in Artemisia annua (sweet wormwood) cultivated in high arsenic soil.,Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33823355,Heat shock induces cross adaptation to aluminum stress through enhancing ascorbate-glutathione cycle in wheat seedlings.,Chemosphere,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33826752,Ascorbate and glutathione independently alleviate arsenate toxicity in brinjal but both require endogenous nitric oxide.,Physiologia plantarum,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33848008,Silicon induces metallochaperone-driven cadmium binding to the cell wall and restores redox status through elevated glutathione in Cd-stressed sugar beet.,Physiologia plantarum,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33857549,Microneedling as an adjuvant to topical therapies for melasma: A systematic review and meta-analysis.,Journal of the American Academy of Dermatology,2022,review/meta-analysis,False,NR,exclude,R4_efficacy,,,R-A
33891141,Diversity of Native Arbuscular Mycorrhiza Extraradical Mycelium Influences Antioxidant Enzyme Activity in Wheat Grown Under Mn Toxicity.,Bulletin of environmental contamination and toxicology,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
33905982,Gamma-aminobutyric acid improves phenanthrene phytotoxicity tolerance in cucumber through the glutathione-dependent system of antioxidant defense.,Ecotoxicology and environmental safety,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33912831,Vitamin C-Induced Oxalate Nephropathy in a Septic Patient.,Critical care explorations,2021,case report,True,NR,include,,oxalate nephropathy / AKI (IV vit C),confirmed_risk,R-A + R-B (adjudicated)
33914821,Effects of exogenous ascorbic acid on seed germination and seedling salt-tolerance of alfalfa.,PloS one,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33929663,Relative effectiveness of arbuscular mycorrhiza and polyamines in modulating ROS generation and ascorbate-glutathione cycle in Cajanus cajan under nickel stress.,Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33933891,Synergistic anti-oxidative effects of Pongamia pinnata against nickel mediated by Rhizobium pisi and Ochrobacterium pseudogrignonense.,Ecotoxicology and environmental safety,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33934375,AlRab7 from Aeluropus lagopoides ameliorates ion toxicity in transgenic tobacco by regulating hormone signaling and reactive oxygen species homeostasis.,Physiologia plantarum,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33940654,Iron-Driven Alterations on Red Blood Cell-Derived Microvesicles Amplify Coagulation during Hemolysis via the Intrinsic Tenase Complex.,Thrombosis and haemostasis,2022,other,False,NR,exclude,R3_reagent,,,R-A
33947078,Sequential Changes in Antioxidant Potential of Oakleaf Lettuce Seedlings Caused by Nano-TiO,"Nanomaterials (Basel, Switzerland)",2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33961586,Slipped Capital Femoral Epiphysis Associated With Vitamin C Deficiency in a 7-year-old Boy.,Journal of the American Academy of Orthopaedic Surgeons. Global research & reviews,2021,case report,True,NR,exclude,R2_no_ae,"scurvy (vit C deficiency, SCFE)",,R-A + R-B (adjudicated)
33971037,"Efficacy of elobixibat as bowel preparation agent for colonoscopy: Prospective, randomized, multi-center study.",Digestive endoscopy : official journal of the Japan Gastroenterological Endoscopy Society,2022,clinical trial,False,Japan,include,,PEG-ascorbate bowel prep safety,no_problem,R-A + R-B (adjudicated)
33974205,Arsenate and arsenite-induced inhibition and recovery in two diazotrophic cyanobacteria Nostoc muscorum and Anabaena sp.: study on time-dependent toxicity regulation.,Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
33994129,Effectiveness and safety of 1L PEG-ASC preparation for colonoscopy in patients with inflammatory bowel diseases.,Digestive and liver disease : official journal of the Italian Society of Gastroenterology and the Italian Association for the Study of the Liver,2021,cohort/observational,False,Italy,include,,PEG-ascorbate bowel prep safety (IBD),no_problem,R-A + R-B (adjudicated)
33999323,Salicylic acid pre-treatment modulates Pb,Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34004547,"Differential diagnosis of metabolic disease in a commingled sample from 19th century Hisban, Jordan.",International journal of paleopathology,2021,other,False,Jordan,exclude,R2_no_ae,,,R-A
34007407,Synthesis and Biological Screening of New 4-Hydroxycoumarin Derivatives and Their Palladium(II) Complexes.,Oxidative medicine and cellular longevity,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34015536,Ecotoxicological effect of ketoconazole on the antioxidant system of Daphnia similis.,Comparative biochemistry and physiology. Toxicology & pharmacology : CBP,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34018173,Keap1/Nrf2 pathway in sodium fluoride-induced cardiac toxicity and the prophylactic role of vitamin C versus platelet-rich plasma.,Folia morphologica,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
34020705,High-dose vitamin-C induced prolonged factitious hyperglycemia in a peritoneal dialysis patient: a case report.,Journal of medical case reports,2021,case report,True,NR,include,,factitious hyperglycemia (glucometer interference),emerging,R-A + R-B (adjudicated)
34030395,Soil arsenic toxicity differentially impacts C3 (barley) and C4 (maize) crops under future climate atmospheric CO,Journal of hazardous materials,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34033530,Reversible right-sided heart failure and pulmonary hypertension caused by scurvy in a 7-year-old boy with autism spectrum disorder and a review of the literature.,Paediatrics and international child health,2023,case report,True,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
34038976,[Vitamin C - New Option in Sepsis Therapy?].,"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS",2021,review/meta-analysis,False,NR,exclude,R2_no_ae,,,R-A
34050519,"Therapeutic effects of chitosan-embedded vitamin C, E nanoparticles against cisplatin-induced gametogenic and androgenic toxicity in adult male rats.",Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34059056,Ecotoxicity evaluation of polymeric nanoparticles loaded with ascorbic acid for fish nutrition in aquaculture.,Journal of nanobiotechnology,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34063417,Vitamin C Deficiency in the Young Brain-Findings from Experimental Animal Models.,Nutrients,2021,review/meta-analysis,False,NR,exclude,R1_animal_invitro,,,R-A
34075496,"Salicylic acid-mediated alleviation of fluoride toxicity in rice by restricting fluoride bioaccumulation and strengthening the osmolyte, antioxidant and glyoxalase systems.",Environmental science and pollution research international,2023,other,False,NR,exclude,R1_animal_invitro,,,R-A
34088169,Hydrogen sulfide (H,Journal of hazardous materials,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34113504,Impact of Intravenous Vitamin C Administration in Reducing Severity of Symptoms in Breast Cancer Patients During Treatment.,Cureus,2021,clinical trial,False,Pakistan,include,,"IV vit C safety (breast cancer, AEs)",no_problem,R-A + R-B (adjudicated)
34116184,Disruption of biofilms and killing of Burkholderia cenocepacia from cystic fibrosis lung using an antioxidant-antibiotic combination therapy.,International journal of antimicrobial agents,2021,other,False,NR,exclude,R3_reagent,,,R-A
34126929,Aspergillus flavus induced oxidative stress and immunosuppressive activity in Spodoptera litura as well as safety for mammals.,BMC microbiology,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34131671,The mystery of 'saturation gap' and falsely normal G6PD: a case of primaquine-induced haemolysis in Plasmodium vivax malaria infection.,The journal of the Royal College of Physicians of Edinburgh,2021,case report,True,NR,exclude,R5_not_subject,,,R-A
34136361,,Toxicology reports,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34155029,Scurvy mimicking as systemic lupus erythematosus.,BMJ case reports,2021,case report,True,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
34157031,"Kinetin mitigates Cd-induced damagesto growth, photosynthesis and PS II photochemistry of Trigonella seedlings by up-regulating ascorbate-glutathione cycle.",PloS one,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34174667,"Malus rootstocks affect copper accumulation and tolerance in trees by regulating copper mobility, physiological responses, and gene expression patterns.","Environmental pollution (Barking, Essex : 1987)",2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34181570,"An Epidemic of Scurvy, Identified Based on Lower Extremity Swelling, in a Southern Ethiopian Prison.",The American journal of tropical medicine and hygiene,2021,cohort/observational,False,Ethiopia,exclude,R2_no_ae,scurvy outbreak (vit C deficiency),,R-A + R-B (adjudicated)
34186425,Involvement of several putative transporters of different families in β-cyclocitral-induced alleviation of cadmium toxicity in quinoa (Chenopodium quinoa) seedlings.,Journal of hazardous materials,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34200884,"Alleviating Effects of Vitamins C and E Supplementation on Oxidative Stress, Hematobiochemical, and Histopathological Alterations Caused by Copper Toxicity in Broiler Chickens.",Animals : an open access journal from MDPI,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34204508,"Mitigating the Growth, Biochemical Changes, Genotoxic and Pathological Effects of Copper Toxicity in Broiler Chickens by Supplementing Vitamins C and E.",Animals : an open access journal from MDPI,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34204730,Amelioration of Chlorpyrifos-Induced Toxicity in ,Biomolecules,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34227684,"Heavy metal stress in rice: Uptake, transport, signaling, and tolerance mechanisms.",Physiologia plantarum,2021,review/meta-analysis,False,NR,exclude,R1_animal_invitro,,,R-A
34229384,An actinomycete strain of Nocardiopsis lucentensis reduces arsenic toxicity in barley and maize.,Journal of hazardous materials,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34231153,Cardiotoxicity of some pesticides and their amelioration.,Environmental science and pollution research international,2021,review/meta-analysis,False,NR,exclude,R5_not_subject,,,R-A
34239509,Herbicides Tolerance in a ,Frontiers in microbiology,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34253216,"Phytochemical, acute toxicity and renal protective appraisal of Ajuga parviflora hydromethanolic leaf extract against CCl",BMC complementary medicine and therapies,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34254829,Vitamin C (Ascorbate) and Redox Topics in Cancer.,Antioxidants & redox signaling,2021,review/meta-analysis,False,NR,exclude,R2_no_ae,,,R-A
34261429,Soil applied glycine betaine with Arbuscular mycorrhizal fungi reduces chromium uptake and ameliorates chromium toxicity by suppressing the oxidative stress in three genetically different Sorghum (Sorghum bicolor L.) cultivars.,BMC plant biology,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34271533,"Salicylic acid underpins silicon in ameliorating chromium toxicity in rice by modulating antioxidant defense, ion homeostasis and cellular ultrastructure.",Plant physiology and biochemistry : PPB,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34282219,The role of ascorbic acid combined exposure on Imidacloprid-induced oxidative stress and genotoxicity in Nile tilapia.,Scientific reports,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34283857,Stress amelioration response of glycine betaine and Arbuscular mycorrhizal fungi in sorghum under Cr toxicity.,PloS one,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34285765,Red Ginseng Oil Attenuates Oxidative Stress and Offers Protection against Ultraviolet-Induced Photo Toxicity.,Oxidative medicine and cellular longevity,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34301365,Cartap hydrochloride induced stress response in Anabaena variabilis ARM 441.,Pesticide biochemistry and physiology,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34307844,Pseudohyperglycemia Secondary to High-Dose Intravenous Vitamin C Managed as Diabetic Ketoacidosis: An Endocrinological Catastrophe.,AACE clinical case reports,2021,case report,True,NR,include,,"pseudohyperglycemia (glucometer interference, fatal)",emerging,R-A + R-B (adjudicated)
34311359,Anti-oxidant mechanisms of Chlorella pyrenoidosa under acute GenX exposure.,The Science of the total environment,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34315326,Could Vitamin C Protect Against Mercuric Chloride Induced Lung Toxicity In The Offspring Rat: A Histological And Immunohistochemical Study.,Ultrastructural pathology,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34321919,Intraoperative Vitamin C Reduces the Dosage of Propofol in Patients Undergoing Total Knee Replacement.,Journal of pain research,2021,clinical trial,False,China,include,,intraop vit C safety (AEs monitored),no_problem,R-A + R-B (adjudicated)
34326710,Protective Effect of ,TheScientificWorldJournal,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34331222,Potential antioxidant effects of Narcissus tazetta phenolic compounds against cadmium chloride-induced hepatotoxicity in Swiss albino mice.,Environmental science and pollution research international,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34339404,Scurvy as an Alarm Bell of Autistic Spectrum Disorder in the First World: A Case Report of a 3-Year-Old Girl.,The American journal of case reports,2021,case report,True,NR,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
34340598,Characterization of Macroporous Polycaprolactone/Silk Fibroin/Gelatin/Ascorbic Acid Composite Scaffolds and ,Cartilage,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34350569,Potassium reduces oxidative stress in tanzania guinea grass under cadmium toxicity.,Environmental science and pollution research international,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
34411784,"Insight into the thiourea-induced drought tolerance in two chickpea varieties: Regulation of osmoprotection, reactive oxygen species metabolism and glyoxalase system.",Plant physiology and biochemistry : PPB,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34416498,Multigenerational selection towards longevity changes the protective role of vitamin C against graphene oxide-induced oxidative stress in house crickets.,"Environmental pollution (Barking, Essex : 1987)",2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34439568,Silicon Improves the Redox Homeostasis to Alleviate Glyphosate Toxicity in Tomato Plants-Are Nanomaterials Relevant?,"Antioxidants (Basel, Switzerland)",2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34453444,Non alcoholic palm nectar from Cocos nucifera as a promising nutraceutical preparation.,Journal of food biochemistry,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34461334,Impact of CuO nanoparticles on maize: Comparison with CuO bulk particles with special reference to oxidative stress damages and antioxidant defense status.,Chemosphere,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
34469650,Inadequate Support.,The New England journal of medicine,2021,case report,True,NR,exclude,R2_no_ae,scurvy / avitaminosis (deficiency),,R-A + R-B (adjudicated)
34480995,"Traditional uses, bioactive composition, pharmacology, and toxicology of Phyllanthus emblica fruits: A comprehensive review.",Journal of ethnopharmacology,2022,review/meta-analysis,False,NR,exclude,R6_food_materials,,,R-A
34490696,"A randomized controlled trial comparing the efficacy, tolerability, and cost of oral iron preparations in iron-deficiency anemia in pregnancy.",The journal of obstetrics and gynaecology research,2021,clinical trial,False,NR,exclude,R5_not_subject,,,R-A
34495473,"Amelioration of sodium and arsenic toxicity in Salvinia natans L. with 2,4-D priming through physiological responses.",Environmental science and pollution research international,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34500196,Silicon and nitric oxide interplay alleviates copper induced toxicity in mung bean seedlings.,Plant physiology and biochemistry : PPB,2021,other,False,NR,exclude,R6_food_materials,,,R-A
34500790,"Modeling Alleviative Effects of Ca, Mg, and K on Cu-Induced Oxidative Stress in Grapevine Roots Grown Hydroponically.","Molecules (Basel, Switzerland)",2021,other,False,NR,exclude,R6_food_materials,,,R-A
34508390,Vitamin C deficiency in a picky eater child.,The Medical journal of Malaysia,2021,case report,True,Malaysia,exclude,R2_no_ae,scurvy (vit C deficiency),,R-A + R-B (adjudicated)
34509843,Oxidative stress and EROD activity in Caco-2 cells upon exposure to chlorinated hydrophobic organic compounds from drinking water reservoirs.,The Science of the total environment,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
34515933,Seed priming with brassinosteroids alleviates aluminum toxicity in rice via improving antioxidant defense system and suppressing aluminum uptake.,Environmental science and pollution research international,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34524606,"Arsenic-induced oxidative stress in Brassica oleracea: Multivariate and literature data analyses of physiological parameters, applied levels and plant organ type.",Environmental geochemistry and health,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34526104,"Kabasura Kudineer (KSK), a poly-herbal Siddha medicine, reduced SARS-CoV-2 viral load in asymptomatic COVID-19 individuals as compared to vitamin C and zinc supplementation: findings from a prospective, exploratory, open-labeled, comparative, randomized controlled trial, Tamil Nadu, India.",Trials,2021,clinical trial,False,India,exclude,R4_efficacy,,,R-A
34529397,"Effect of Combined Hydrocortisone, Ascorbic Acid and Thiamine for Patients with Sepsis and Septic Shock: A Systematic Review and Meta-Analysis.","Shock (Augusta, Ga.)",2021,review/meta-analysis,False,NR,exclude,R5_not_subject,,,R-A
34537578,Interactive effects of gibberellic acid and NPK on morpho-physio-biochemical traits and organic acid exudation pattern in coriander (Coriandrum sativum L.) grown in soil artificially spiked with boron.,Plant physiology and biochemistry : PPB,2021,other,False,NR,exclude,R6_food_materials,,,R-A
34553497,"Synthesis of new coumarin[1,3]oxazine derivatives of 7-hydroxy-6-isobornyl-4-methylcoumarin and their antioxidant activity.",Chemical biology & drug design,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
34563771,"Selenium nanoparticles reduced cadmium uptake, regulated nutritional homeostasis and antioxidative system in Coriandrum sativum grown in cadmium toxic conditions.",Chemosphere,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34573023,Human Cystathionine γ-Lyase Is Inhibited by ,"Antioxidants (Basel, Switzerland)",2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34579395,Foliar Application of Sodium Nitroprusside Boosts ,"Plants (Basel, Switzerland)",2021,other,False,NR,exclude,R6_food_materials,,,R-A
34579603,"Selenium alleviates arsenic induced stress by modulating growth, oxidative stress, antioxidant defense and thiol metabolism in rice seedlings.",International journal of phytoremediation,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34590723,Endogenous indole-3-acetic acid and nitric oxide are required for calcium-mediated alleviation of copper oxide nanoparticles toxicity in wheat seedlings.,Physiologia plantarum,2021,other,False,NR,exclude,R6_food_materials,,,R-A
34596731,Ascorbate: antioxidant and biochemical activities and their importance for in vitro models.,Archives of toxicology,2021,review/meta-analysis,False,NR,exclude,R1_animal_invitro,,,R-A
34602448,In vivo antioxidant potential of fruit mucilage from two varieties of Cucumis melo subsp. agrestis against oxidative stress induced toxicity.,Pakistan journal of pharmaceutical sciences,2021,other,False,NR,exclude,R1_animal_invitro,,,R-A
34611203,Jasmonic acid (JA) and gibberellic acid (GA,Scientific reports,2021,other,False,NR,exclude,R6_food_materials,,,R-A
34617220,Managing arsenic (V) toxicity by phosphate supplementation in rice seedlings: modulations in AsA-GSH cycle and other antioxidant enzymes.,Environmental science and pollution research international,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34619510,Cost-effective and earth-friendly chemometrics-assisted spectrophotometric methods for simultaneous determination of Acetaminophen and Ascorbic Acid in pharmaceutical formulation.,"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy",2022,other,False,NR,exclude,R3_reagent,,,R-A
34625028,Comparative physiological and transcriptomic analyses reveal ascorbate and glutathione coregulation of cadmium toxicity resistance in wheat genotypes.,BMC plant biology,2021,other,False,NR,exclude,R6_food_materials,,,R-A
34637420,IV Vitamin C in Critically Ill Patients: A Systematic Review and Meta-Analysis.,Critical care medicine,2022,review/meta-analysis,False,NR,include,,"IV vit C safety (critically ill, AEs)",no_problem,R-A + R-B (adjudicated)
34647812,Effectiveness of Clinical-Grade Chondroitin Sulfate and Ascorbic Acid in Mitigating Cryoprotectant Toxicity in Porcine Articular Cartilage.,Biopreservation and biobanking,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
34651236,Exogenous nitric oxide alleviates manganese toxicity in bean plants by modulating photosynthesis in relation to leaf lipid composition.,Protoplasma,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34653425,"Efficacy and safety of split-dose bowel preparation with 1 L polyethylene glycol and ascorbate compared with 2 L polyethylene glycol and ascorbate in a Korean population: a phase IV, multicenter, randomized, endoscopist-blinded study.",Gastrointestinal endoscopy,2022,clinical trial,False,South Korea,include,,PEG-ascorbate bowel prep safety,no_problem,R-A + R-B (adjudicated)
34659304,"Chromium (VI)-Induced Alterations in Physio-Chemical Parameters, Yield, and Yield Characteristics in Two Cultivars of Mungbean (",Frontiers in plant science,2021,other,False,NR,exclude,R6_food_materials,,,R-A
34662623,Hormetic effects of zinc on growth and antioxidant defense system of wheat plants.,The Science of the total environment,2022,other,False,NR,exclude,R6_food_materials,,,R-A
34665895,"Trimetazedine with hyperinsulinimea-euoglycemia, N-acetyl cysteine, and vitamin C: A new approach concept for management of aluminum phosphide poisoning.",Journal of biochemical and molecular toxicology,2022,other,False,NR,exclude,R1_animal_invitro,,,R-A
34666685,Efficacy of macrogol 4000 plus electrolytes in bowel preparation for colonoscopy in patients with chronic constipation.,BMC gastroenterology,2021,clinical trial,False,Japan,include,,macrogol/PEG-ascorbate bowel prep AEs,no_problem,R-A + R-B (adjudicated)
34678626,Pre-sowing seed treatment with kinetin and calcium mitigates salt induced inhibition of seed germination and seedling growth of choysum (Brassica rapa var. parachinensis).,Ecotoxicology and environmental safety,2021,other,False,NR,exclude,R6_food_materials,,,R-A
34684565,Vitamin C in Critically Ill Patients: An Updated Systematic Review and Meta-Analysis.,Nutrients,2021,review/meta-analysis,False,NR,include,,AKI/nephrotoxicity appraisal (IV vit C),no_problem,R-A + R-B (adjudicated)
34685894,Enhancing Salt Tolerance in Soybean by Exogenous Boron: Intrinsic Study of the Ascorbate-Glutathione and Glyoxalase Pathways.,"Plants (Basel, Switzerland)",2021,other,False,NR,exclude,R6_food_materials,,,R-A
